"","year","month","neighbourhood","num_reviews","date"
"1","2015","01","Albrechtstr.",2,2015-01-01
"2","2015","01","Alexanderplatz",99,2015-01-01
"3","2015","01","Alt  Treptow",3,2015-01-01
"4","2015","01","Altglienicke",6,2015-01-01
"5","2015","01","Barstraße",1,2015-01-01
"6","2015","01","Biesdorf",1,2015-01-01
"7","2015","01","Blankenburg/Heinersdorf/Märchenland",1,2015-01-01
"8","2015","01","Brunnenstr. Nord",14,2015-01-01
"9","2015","01","Brunnenstr. Süd",55,2015-01-01
"10","2015","01","Buchholz",1,2015-01-01
"11","2015","01","Buckow",3,2015-01-01
"12","2015","01","Drakestr.",3,2015-01-01
"13","2015","01","Düsseldorfer Straße",5,2015-01-01
"14","2015","01","Fennpfuhl",1,2015-01-01
"15","2015","01","Frankfurter Allee Nord",11,2015-01-01
"16","2015","01","Frankfurter Allee Süd FK",25,2015-01-01
"17","2015","01","Friedenau",4,2015-01-01
"18","2015","01","Friedrichshagen",1,2015-01-01
"19","2015","01","Gropiusstadt",4,2015-01-01
"20","2015","01","Halensee",2,2015-01-01
"21","2015","01","Heerstrasse",1,2015-01-01
"22","2015","01","Helmholtzplatz",33,2015-01-01
"23","2015","01","Johannisthal",1,2015-01-01
"24","2015","01","Kantstraße",8,2015-01-01
"25","2015","01","Karl-Marx-Allee-Nord",6,2015-01-01
"26","2015","01","Karl-Marx-Allee-Süd",12,2015-01-01
"27","2015","01","Karlshorst",1,2015-01-01
"28","2015","01","Karow",1,2015-01-01
"29","2015","01","Kurfürstendamm",1,2015-01-01
"30","2015","01","Mahlsdorf",1,2015-01-01
"31","2015","01","Mierendorffplatz",2,2015-01-01
"32","2015","01","Moabit Ost",18,2015-01-01
"33","2015","01","Moabit West",17,2015-01-01
"34","2015","01","Neu Lichtenberg",1,2015-01-01
"35","2015","01","Neue Kantstraße",11,2015-01-01
"36","2015","01","Neuköllner Mitte/Zentrum",19,2015-01-01
"37","2015","01","nördliche Luisenstadt",16,2015-01-01
"38","2015","01","Osloer Straße",7,2015-01-01
"39","2015","01","Ost 1",1,2015-01-01
"40","2015","01","Otto-Suhr-Allee",4,2015-01-01
"41","2015","01","Pankow Süd",12,2015-01-01
"42","2015","01","Pankow Zentrum",2,2015-01-01
"43","2015","01","Parkviertel",8,2015-01-01
"44","2015","01","Prenzlauer Berg Nord",31,2015-01-01
"45","2015","01","Prenzlauer Berg Nordwest",21,2015-01-01
"46","2015","01","Prenzlauer Berg Ost",4,2015-01-01
"47","2015","01","Prenzlauer Berg Süd",40,2015-01-01
"48","2015","01","Prenzlauer Berg Südwest",77,2015-01-01
"49","2015","01","Regierungsviertel",7,2015-01-01
"50","2015","01","Reuterstraße",26,2015-01-01
"51","2015","01","Rixdorf",29,2015-01-01
"52","2015","01","Rudow",1,2015-01-01
"53","2015","01","Schillerpromenade",13,2015-01-01
"54","2015","01","Schloß Charlottenburg",6,2015-01-01
"55","2015","01","Schloßstr.",1,2015-01-01
"56","2015","01","Schmargendorf",1,2015-01-01
"57","2015","01","Schöneberg-Nord",12,2015-01-01
